route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2024_08_12-SA-MVS-Saturday-01,1575880,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575772,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575881,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575773,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575882,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575774,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575883,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575775,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575884,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575776,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575885,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575777,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575886,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575778,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575887,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575779,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575888,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575780,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575889,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575781,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-SA-MVS-Saturday-01,1575890,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-SA-MVS-Saturday-01,1575782,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
